,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
56,1.0,4.0,9.0,3.0,1.0,39.5,6.18,14.0,581.8031496062993,1.0,4.0,4.6,5.0,13.6,0.347826087,0.933,23.72,8.547,13.15,2.661
57,1.0,4.0,10.0,3.0,2.0,30.0,6.32,15.0,581.8031496062993,2.0,3.7,4.7,4.4,12.8,0.47826087,0.66,26.53,11.23,6.961,4.36
58,1.0,4.0,11.0,3.0,3.0,62.0,7.87,28.0,581.8031496062993,2.0,5.7,6.6,6.8,19.1,-0.036363636,1.468,22.82,8.098,9.033,7.54
59,1.0,4.0,12.0,3.0,4.0,36.5,5.59,16.0,581.8031496062993,1.0,3.6,4.5,4.2,12.3,0.129032258,0.977,26.56,8.813,10.66,7.76
60,1.0,4.0,13.0,4.0,1.0,32.5,4.88,12.0,581.8031496062993,1.0,3.2,3.9,4.0,11.1,1.0,1.501,33.21,6.397,15.98,2.245
61,1.0,4.0,14.0,4.0,2.0,57.0,8.34,40.0,581.8031496062993,3.0,6.1,7.2,7.2,20.5,0.289473684,1.532,24.61,5.232,15.2,5.277
62,1.0,4.0,15.0,4.0,3.0,49.0,5.89,20.0,581.8031496062993,2.0,4.0,4.5,4.0,12.5,1.0,1.455,26.95,8.122,10.18,8.164
63,1.0,4.0,16.0,4.0,4.0,60.0,7.4,25.0,581.8031496062993,2.0,5.5,6.9,6.4,18.8,0.357142857,1.043,23.57,6.6,9.526,6.232
64,2.0,1.0,1.0,1.0,1.0,69.5,10.29,36.0,509.0,3.0,6.8,12.0,12.8,31.6,0.225806452,0.859,17.67,5.074,4.743,0.86
65,2.0,1.0,2.0,1.0,2.0,62.0,9.48,23.0,393.0,1.0,5.6,11.7,11.0,28.3,0.0,0.573,16.4,8.264,4.14,5.723
66,2.0,1.0,3.0,1.0,3.0,106.0,10.92,43.0,1475.0,1.0,8.4,16.2,12.5,37.1,0.0625,0.875,12.84,10.71,5.07,7.316
67,2.0,1.0,4.0,1.0,4.0,69.0,10.49,28.0,487.0,1.0,6.4,14.4,10.9,31.7,0.15,0.726,15.95,8.712,5.665,5.624
68,2.0,1.0,5.0,2.0,1.0,71.0,10.61,52.0,820.0,3.0,8.6,15.2,13.9,37.7,0.066666667,0.865,17.02,5.573,12.82,1.566
69,2.0,1.0,6.0,2.0,2.0,80.0,11.6,46.0,658.0,3.0,7.3,22.6,13.2,43.1,0.15,0.957,20.74,5.551,7.293,6.869
70,2.0,1.0,7.0,2.0,3.0,102.0,12.63,68.0,939.0,8.0,8.5,22.8,17.5,48.8,-0.285714286,0.744,13.45,5.153,4.807,10.05
71,2.0,1.0,8.0,2.0,4.0,117.5,14.07,65.0,1342.0,3.0,11.8,24.8,22.9,59.5,-0.051948052,0.901,15.75,5.847,4.567,8.564
72,2.0,1.0,9.0,3.0,1.0,63.5,9.95,40.0,852.0,2.0,7.6,13.9,13.9,35.4,0.177419355,0.891,16.56,5.102,11.56,1.041
73,2.0,1.0,10.0,3.0,2.0,78.0,12.56,62.0,1102.0,3.0,8.4,22.3,16.4,47.1,0.260273973,1.094,20.1,6.607,5.846,7.895
74,2.0,1.0,11.0,3.0,3.0,100.0,13.71,48.0,1088.0,3.0,11.3,26.8,17.6,55.7,0.0,0.75,15.13,4.973,6.56,8.152
75,2.0,1.0,12.0,3.0,4.0,76.0,11.69,77.0,1052.0,5.0,9.4,15.5,12.2,37.1,-0.064516129,0.751,15.71,6.661,7.474,7.768
76,2.0,1.0,13.0,4.0,1.0,86.0,13.44,32.0,742.0,2.0,8.6,12.5,15.2,36.3,0.142857143,0.834,19.21,5.995,12.41,0.795
77,2.0,1.0,14.0,4.0,2.0,100.0,14.24,58.0,1086.0,3.0,9.8,21.8,15.8,47.4,0.142857143,1.024,14.82,5.823,8.536,6.91
78,2.0,1.0,15.0,4.0,3.0,70.0,11.62,70.0,1352.0,5.0,7.5,17.6,12.8,37.9,0.4375,0.837,15.31,5.752,7.778,8.293
79,2.0,1.0,16.0,4.0,4.0,83.0,13.77,60.0,1448.0,3.0,10.6,24.2,17.8,52.6,0.347826087,0.728,15.92,5.416,5.767,9.437
80,2.0,2.0,1.0,1.0,1.0,34.0,4.68,5.0,11.0,1.0,2.8,3.8,4.0,10.6,0.189189189,0.9331593406593407,19.610494505494504,6.667741758241759,7.944098901098902,6.040153846153846
81,2.0,2.0,2.0,1.0,2.0,71.0,11.47,41.0,762.0,4.0,6.9,18.0,15.7,40.6,0.086956522,0.686,17.57,6.459,4.14,6.822
82,2.0,2.0,3.0,1.0,3.0,95.5,13.17,64.0,1084.0,3.0,10.4,21.6,20.4,52.4,0.217391304,0.721,17.58,6.994,3.833,8.877
83,2.0,2.0,4.0,1.0,4.0,85.5,9.97,28.0,497.0,1.0,6.0,13.2,9.9,29.1,-0.022727273,0.796,19.4,7.481,5.31,9.056
84,2.0,2.0,5.0,2.0,1.0,80.0,12.6,38.0,725.0,2.0,8.2,18.0,15.0,41.2,0.093023256,0.909,18.54,6.951,6.597,6.357
85,2.0,2.0,6.0,2.0,2.0,60.0,9.15,18.0,261.0,2.0,4.1,11.1,8.9,24.1,-0.090909091,0.637,16.96,5.778,7.235,5.735
86,2.0,2.0,7.0,2.0,3.0,109.0,13.14,35.0,786.0,1.0,8.7,21.6,16.7,47.0,0.0,0.814,17.2,6.21,4.942,9.294
87,2.0,2.0,8.0,2.0,4.0,105.0,11.24,27.0,708.0,1.0,7.2,24.1,14.3,45.6,0.189189189,0.767,18.51,5.223,7.278,7.251
88,2.0,2.0,9.0,3.0,1.0,49.0,8.49,52.0,435.0,3.0,7.6,9.1,9.0,25.7,1.0,1.078,22.73,5.057,11.23,0.545
89,2.0,2.0,10.0,3.0,2.0,73.0,9.42,36.0,807.0,6.0,6.0,13.0,9.9,28.9,0.64,0.935,20.3,5.56,6.744,9.414
90,2.0,2.0,11.0,3.0,3.0,76.0,11.02,34.0,771.0,3.0,7.1,15.8,10.9,33.8,0.7,0.746,17.9,6.895,7.623,8.061
91,2.0,2.0,12.0,3.0,4.0,65.0,12.84,55.0,1515.0,3.0,9.9,18.3,16.6,44.8,0.341463415,0.812,16.01,6.387,5.733,7.564
92,2.0,2.0,13.0,4.0,1.0,65.0,6.91,28.0,385.0,1.0,5.6,6.7,10.1,22.4,0.5,1.395,23.42,7.108,12.69,1.0
93,2.0,2.0,14.0,4.0,2.0,88.0,11.83,58.0,934.0,3.0,7.8,20.4,13.3,41.5,0.673913043,0.9331593406593407,19.610494505494504,6.667741758241759,7.944098901098902,6.040153846153846
94,2.0,2.0,15.0,4.0,3.0,53.0,10.63,64.0,880.0,5.0,9.0,14.2,13.6,36.8,0.4,0.839,17.75,7.028,6.967,7.554
95,2.0,2.0,16.0,4.0,4.0,46.0,8.05,24.0,301.0,2.0,4.2,7.6,6.4,18.2,0.785714286,0.668,19.83,7.655,8.851,5.045
96,2.0,3.0,1.0,1.0,1.0,34.5,9.26,32.0,283.0,3.0,4.8,8.7,7.3,20.8,-0.1,0.7,19.16,5.637,9.374,1.007
97,2.0,3.0,2.0,1.0,2.0,39.0,6.51,16.0,98.0,2.0,3.4,5.0,6.0,14.4,-0.090909091,0.507,16.02,7.752,7.185,6.064
98,2.0,3.0,3.0,1.0,3.0,36.5,5.65,10.0,107.0,1.0,3.3,4.8,5.9,14.0,0.023255814,0.809,16.24,6.942,6.465,7.157
99,2.0,3.0,4.0,1.0,4.0,71.5,11.39,40.0,578.0,3.0,6.8,18.1,14.2,39.1,-0.018867925,0.721,18.4,7.954,5.61,7.085
100,2.0,3.0,5.0,2.0,1.0,60.0,6.95,36.0,580.0,2.0,6.7,8.6,8.8,24.1,0.85,1.003,22.98,8.046,12.27,1.091
101,2.0,3.0,6.0,2.0,2.0,52.5,9.23,25.0,351.0,2.0,5.3,10.6,13.7,29.6,0.196428571,0.639,20.07,6.804,6.86,5.34
102,2.0,3.0,7.0,2.0,3.0,88.0,13.67,67.0,1041.0,3.0,9.3,21.8,20.1,51.2,0.0,0.673,15.3,6.045,6.395,8.807
103,2.0,3.0,8.0,2.0,4.0,69.0,12.15,44.0,684.0,3.0,7.3,21.2,16.8,45.3,0.058823529,0.656,16.76,5.79,4.241,7.763
104,2.0,3.0,9.0,3.0,1.0,77.5,8.43,44.0,516.0,4.0,6.2,11.5,10.8,28.5,0.142857143,1.117,25.56,3.641,13.45,0.734
105,2.0,3.0,10.0,3.0,2.0,63.5,11.83,43.0,769.0,4.0,7.3,14.8,12.3,34.4,0.8125,0.895,20.6,6.412,5.768,7.904
106,2.0,3.0,11.0,3.0,3.0,81.5,12.29,25.0,812.0,1.0,7.4,21.0,12.9,41.3,0.586206897,0.986,18.0,6.6,5.69,8.807
107,2.0,3.0,12.0,3.0,4.0,100.5,15.1,46.0,848.0,2.0,9.4,28.4,19.4,57.2,0.302325581,0.787,19.46,8.004,6.332,6.713
108,2.0,3.0,13.0,4.0,1.0,43.0,6.12,12.0,132.0,2.0,2.8,5.6,4.5,12.9,0.666666667,1.173,21.56,7.027,6.226,7.719
109,2.0,3.0,14.0,4.0,2.0,56.0,9.89,38.0,567.0,3.0,6.4,11.5,10.2,28.1,0.756756757,0.9331593406593407,19.610494505494504,6.667741758241759,7.944098901098902,6.040153846153846
110,2.0,3.0,15.0,4.0,3.0,67.0,11.65,26.0,569.0,2.0,6.8,12.649473684210527,11.19,29.789473684210527,0.035714286,0.702,17.07,7.384,5.727,4.469
111,2.0,3.0,16.0,4.0,4.0,78.0,11.58,47.0,898.0,3.0,7.4,18.3,12.5,38.2,0.666666667,1.025,26.33,7.683,7.441,1.998
112,2.0,4.0,1.0,1.0,1.0,52.0,10.12,22.0,308.0,1.0,4.8,8.4,10.9,24.1,-0.342105263,0.733,20.71,7.547,7.05,0.813
113,2.0,4.0,2.0,1.0,2.0,40.0,10.03,15.0,228.0,1.0,4.4,9.2,10.6,24.2,-0.026315789,0.65,20.28,7.45,5.419,3.5
114,2.0,4.0,3.0,1.0,3.0,51.5,10.54,30.0,581.0,2.0,6.0,11.4,14.4,31.8,0.181818182,0.758,20.54,6.176,4.593,8.411
115,2.0,4.0,4.0,1.0,4.0,39.0,7.68,15.0,201.0,1.0,4.1,8.7,9.6,22.4,-0.058823529,0.732,16.56,8.005,5.836,7.111
116,2.0,4.0,5.0,2.0,1.0,51.0,9.17,20.0,306.0,1.0,4.7,8.8,7.8,21.3,0.222222222,0.765,22.81,11.98,9.452,2.267
117,2.0,4.0,6.0,2.0,2.0,60.0,9.73,24.0,526.0,2.0,5.7,11.1,10.8,27.6,0.052631579,0.661,19.82,5.983,7.713,7.378
118,2.0,4.0,7.0,2.0,3.0,53.5,8.4,21.0,350.0,1.0,8.9,8.1,6.8,23.8,0.375,0.609,18.44,4.708,6.904,6.513
119,2.0,4.0,8.0,2.0,4.0,73.0,11.19,33.0,654.0,2.0,6.6,12.5,10.6,29.7,0.068965517,0.73,17.19,5.736,7.234,9.535
120,2.0,4.0,9.0,3.0,1.0,46.0,8.98,25.0,291.0,2.0,4.7,9.1,8.7,22.5,1.0,0.698,19.88,4.319,11.96,1.257
121,2.0,4.0,10.0,3.0,2.0,75.5,11.5,49.0,757.0,3.0,7.3,16.7,12.0,36.0,-0.055555556,0.742,18.16,4.182,7.777,6.501
122,2.0,4.0,11.0,3.0,3.0,56.0,11.28,26.0,356.0,2.0,5.3,11.5,12.1,28.9,0.192307692,0.759,19.98,5.871,7.817,5.081
123,2.0,4.0,12.0,3.0,4.0,41.0,7.14,16.0,199.0,1.0,3.7,5.4,5.9,15.0,0.4,0.648,17.45,7.068,7.422,7.997
124,2.0,4.0,13.0,4.0,1.0,60.0,8.23,22.0,369.0,1.0,4.6,7.0,6.5,18.1,1.0,1.361,22.86,4.932,15.39,1.212
125,2.0,4.0,14.0,4.0,2.0,69.0,9.36,29.0,644.0,2.0,5.7,10.3,8.6,24.6,0.785714286,0.626,16.33,7.918,6.514,6.805
126,2.0,4.0,15.0,4.0,3.0,46.0,7.56,16.0,255.0,2.0,3.5,6.9,7.4,17.8,0.205882353,0.587,17.15,8.341,8.259,5.104
127,2.0,4.0,16.0,4.0,4.0,68.0,10.17,39.0,858.0,2.0,6.5,11.7,10.1,28.3,0.53125,0.65,20.42,8.414,9.311,7.151
128,3.0,1.0,1.0,1.0,1.0,70.0,11.94,25.0,385.0,4.0,6.3,15.7,15.2,37.2,0.1,0.893,14.99,4.649,3.977,1.67
129,3.0,1.0,2.0,1.0,2.0,119.0,15.09,56.0,1084.0,3.0,10.5,35.4,24.5,70.4,-0.010526316,0.875,16.22,5.529,4.067,7.126
130,3.0,1.0,3.0,1.0,3.0,104.0,13.8,65.0,881.0,2.0,8.7,33.3,21.9,63.9,-0.0875,0.795,16.43,5.532,3.419,8.694
131,3.0,1.0,4.0,1.0,4.0,82.0,15.42,58.0,806.0,5.0,8.3,34.7,23.5,66.5,0.26744186,0.948,16.23,6.078,4.048,10.95
132,3.0,1.0,5.0,2.0,1.0,93.0,11.21,22.0,612.0,2.0,6.3,15.7,12.1,34.1,-0.085106383,1.242,19.75,3.032,9.22,0.606
